player,total_shots,total_xG,total_goals,OverPerformxG,xG Per Shot
Aaron Mooy,1,0.039191317,0,-0.039191317,0.039191317
Aaron Ramsey,1,0.025361432,0,-0.025361432,0.025361432
Abdelhamid Sabiri,4,0.9068839989999999,1,0.09311600100000006,0.22672099974999999
Abdelkarim Hassan Al Haj Fadlalla,6,0.27491462450000004,0,-0.27491462450000004,0.04581910408333334
Abderrazak Hamdallah,2,0.542996504,0,-0.542996504,0.271498252
Abdessamad Ezzalzouli,1,0.05950738,0,-0.05950738,0.05950738
Abdou Diallo,1,0.035411544,0,-0.035411544,0.035411544
Abdulaziz Hatem Mohammed Abdullah,1,0.024495702,0,-0.024495702,0.024495702
Abdulelah Al Amri,1,0.037819926,0,-0.037819926,0.037819926
Abdulelah Saad Hameed Al-Malki,2,0.13939861,0,-0.13939861,0.069699305
Abdulrahman Al-Obood,1,0.041744728,0,-0.041744728,0.041744728
Achraf Dari,1,0.4178385,1,0.5821615,0.4178385
Achraf Hakimi Mouh,5,0.919596872,1,0.08040312800000005,0.1839193744
Adrien Rabiot,9,0.728120058,1,0.271879942,0.08090222866666667
Ahmad Nourollahi,5,0.0804267816,0,-0.0804267816,0.01608535632
Ajdin Hrustic,1,0.033247408,0,-0.033247408,0.033247408
Akram Hassan Afif,2,0.029100373,0,-0.029100373,0.0145501865
Alejandro Balde Martínez,1,0.077706024,0,-0.077706024,0.077706024
Alejandro Darío Gómez,2,0.023071868,0,-0.023071868,0.011535934
Aleksandar Mitrović,10,1.501642214,2,0.4983577859999999,0.15016422140000002
Alex Sandro Lobo Silva,1,0.021819543,0,-0.021819543,0.021819543
Alexander Hartmann Bah,2,0.056216941,0,-0.056216941,0.0281084705
Alexis Mac Allister,7,0.5018383630000001,1,0.49816163699999993,0.07169119471428573
Ali Al Hassan,1,0.10154356,0,-0.10154356,0.10154356
Ali Gholizadeh,1,0.04282673,0,-0.04282673,0.04282673
Alidu Seidu,1,0.015372672,0,-0.015372672,0.015372672
Alireza Jahanbakhsh,3,0.154904189,0,-0.154904189,0.051634729666666664
Alistair Johnston,2,0.672354974,0,-0.672354974,0.336177487
Almoez Ali Zainalabiddin Abdulla,3,0.483816448,0,-0.483816448,0.16127214933333334
Alphonso Davies,4,0.928688898,1,0.07131110200000002,0.2321722245
Amadou Onana,2,0.29186468,0,-0.29186468,0.14593234
Andreas Christensen,2,0.5251976599999999,1,0.4748023400000001,0.26259882999999995
Andreas Evald Cornelius,5,0.801507865,0,-0.801507865,0.160301573
Andreas Skov Olsen,4,0.311829907,0,-0.311829907,0.07795747675
Andrej Kramarić,10,1.087257213,2,0.912742787,0.1087257213
Andrija Živković,1,0.030001678,0,-0.030001678,0.030001678
André Ayew Pelé,2,1.2687446599999999,1,-0.26874465999999986,0.6343723299999999
André-Frank Zambo Anguissa,1,0.046351306,0,-0.046351306,0.046351306
Angelo Smit Preciado Quiñónez,4,0.0708458504,0,-0.0708458504,0.0177114626
Anis Ben Slimane,1,0.1007914,0,-0.1007914,0.1007914
Ante Budimir,1,0.10111922,0,-0.10111922,0.10111922
Antoine Griezmann,6,0.49632007100000003,0,-0.49632007100000003,0.08272001183333334
Antoine Semenyo,1,0.12024433,0,-0.12024433,0.12024433
Antonio Rüdiger,6,0.6597156827,0,-0.6597156827,0.10995261378333333
Antony Matheus dos Santos,6,0.1545435,0,-0.1545435,0.02575725
Ao Tanaka,1,0.87261814,1,0.12738185999999996,0.87261814
Arkadiusz Milik,1,0.13519733,0,-0.13519733,0.13519733
Atiba Hutchinson,2,0.133220574,0,-0.133220574,0.066610287
Aurélien Djani Tchouaméni,7,1.182897098,1,-0.18289709799999998,0.16898529971428572
Axel Disasi,1,0.061025612,0,-0.061025612,0.061025612
Axel Witsel,1,0.025340356,0,-0.025340356,0.025340356
Aymeric Laporte,1,0.04145577,0,-0.04145577,0.04145577
Aziz Eraltay Behich,2,0.126898918,0,-0.126898918,0.063449459
Azzedine Ounahi,6,0.244700479,0,-0.244700479,0.040783413166666664
Aïssa Bilal Laïdouni,2,0.08097828400000001,0,-0.08097828400000001,0.040489142000000006
Badr Banoun,1,0.7835,0,-0.7835,0.7835
Ben Davies,3,0.384204745,0,-0.384204745,0.12806824833333333
Bernardo Mota Veiga de Carvalho e Silva,1,0.10927713,0,-0.10927713,0.10927713
Borna Barišić,1,0.015196718,0,-0.015196718,0.015196718
Borna Sosa,2,0.048374664,0,-0.048374664,0.024187332
Boulaye Dia,8,0.662240351,1,0.337759649,0.082780043875
Breel-Donald Embolo,6,2.391196598,2,-0.39119659800000006,0.39853276633333334
Brenden Aaronson,1,0.09428854,0,-0.09428854,0.09428854
Brennan Johnson,3,0.124267868,0,-0.124267868,0.041422622666666666
Bruno Guimarães Rodriguez Moura,5,0.64781192,0,-0.64781192,0.129562384
Bruno Miguel Borges Fernandes,8,1.0313368613,2,0.9686631387,0.1289171076625
Bruno Petković,1,0.09977819,1,0.90022181,0.09977819
Bryan Mbeumo,2,0.134345962,0,-0.134345962,0.067172981
Bukayo Saka,7,0.579455465,3,2.420544535,0.08277935214285714
Carlos Henrique Casimiro,10,1.1432915347,2,0.8567084653000001,0.11432915346999999
Carlos Soler Barragán,5,1.271484056,1,-0.27148405600000003,0.25429681120000003
Carlos Uriel Antuna Romero,2,0.30874212,0,-0.30874212,0.15437106
Cheikh Ahmadou Bamba Mbacke Dieng,4,0.3838931,1,0.6161069,0.095973275
Christian Dannemann Eriksen,4,0.154105106,0,-0.154105106,0.0385262765
Christian Fassnacht,1,0.31681746,0,-0.31681746,0.31681746
Christian Pulisic,9,1.138087093,1,-0.138087093,0.12645412144444446
Christopher Wooh,1,0.05692788,0,-0.05692788,0.05692788
Cody Mathès Gakpo,5,0.5623670310000001,3,2.437632969,0.11247340620000001
Craig Goodwin,2,0.205087522,1,0.794912478,0.102543761
Cristiano Ronaldo dos Santos Aveiro,11,1.939259267,1,-0.939259267,0.176296297
Cyle Larin,3,0.249796684,0,-0.249796684,0.08326556133333333
César Jasib Montes Castro,1,0.0988946,0,-0.0988946,0.0988946
Daichi Kamada,6,0.42129175,0,-0.42129175,0.07021529166666667
Daizen Maeda,2,0.53585137,1,0.46414862999999995,0.267925685
Daley Blind,5,0.521673045,1,0.478326955,0.104334609
Daniel Alves da Silva,3,0.120014081,0,-0.120014081,0.04000469366666667
Daniel Olmo Carvajal,12,1.0841161047,1,-0.08411610470000008,0.090343008725
Danilo Luiz da Silva,2,0.0323683795,0,-0.0323683795,0.01618418975
Darko Lazović,1,0.018288644,0,-0.018288644,0.018288644
Darwin Gabriel Núñez Ribeiro,3,0.21691335099999998,0,-0.21691335099999998,0.07230445033333333
David Junior Hoilett,4,0.11914880800000001,0,-0.11914880800000001,0.029787202000000002
Davy Klaassen,2,0.43179539,1,0.56820461,0.215897695
Dejan Lovren,4,0.381529793,0,-0.381529793,0.09538244825
Denis Lemi Zakaria Lako Lado,1,0.04188712,0,-0.04188712,0.04188712
Denzel Dumfries,2,0.283319202,1,0.7166807980000001,0.141659601
Diego Nicolás De La Cruz Arcosa,1,0.0429242,0,-0.0429242,0.0429242
Diego Roberto Godín Leal,1,0.054689027,0,-0.054689027,0.054689027
Djibril Sow,2,0.150380136,0,-0.150380136,0.075190068
Dries Mertens,3,0.367153732,0,-0.367153732,0.12238457733333334
Dušan Tadić,1,0.061684445,0,-0.061684445,0.061684445
Dušan Vlahović,3,0.7624475099999999,1,0.23755249000000012,0.25414917
Dylan Daniel Mahmoud Bronn,1,0.059058707,0,-0.059058707,0.059058707
Eden Hazard,1,0.009158539,0,-0.009158539,0.009158539
Edimilson Fernandes,1,0.029247057,0,-0.029247057,0.029247057
Edinson Roberto Cavani Gómez,3,0.17895877999999998,0,-0.17895877999999998,0.05965292666666666
Edson Omar Álvarez Velázquez,1,0.013687578,0,-0.013687578,0.013687578
Ehsan Hajsafi,1,0.068153165,0,-0.068153165,0.068153165
Ellyes Joris Skhiri,2,0.10099208700000001,0,-0.10099208700000001,0.050496043500000004
Enner Remberto Valencia Lastra,9,1.924592276,3,1.075407724,0.21384358622222222
Enzo Fernandez,9,1.050628615,1,-0.05062861499999993,0.11673651277777777
Ernesto Alexis Vega Rojas,9,0.6920090567,0,-0.6920090567,0.07688989518888889
Ethan Ampadu,1,0.013776194,0,-0.013776194,0.013776194
Exequiel Alejandro Palacios,1,0.046685893,0,-0.046685893,0.046685893
Fabian Lukas Schär,2,0.103672833,0,-0.103672833,0.0518364165
Facundo Pellistri Rebollo,1,0.099497445,0,-0.099497445,0.099497445
Famara Diedhiou,3,0.238120196,1,0.761879804,0.07937339866666666
Federico Santiago Valverde Dipetta,7,0.11665369960000001,0,-0.11665369960000001,0.01666481422857143
Felix Eduardo Torres Caicedo,1,0.15397952,0,-0.15397952,0.15397952
Ferjani Sassi,1,0.020219443,0,-0.020219443,0.020219443
Ferrán Torres García,4,1.005212115,2,0.994787885,0.25130302875
Filip Kostić,1,0.012009094,0,-0.012009094,0.012009094
Filip Mladenović,1,0.026318645,0,-0.026318645,0.026318645
Firas Tariq Nasser Al Albirakan,2,0.124001969,0,-0.124001969,0.0620009845
Fran Karačić,3,0.05547327569999999,0,-0.05547327569999999,0.018491091899999996
Francisco Javier Calvo Quesada,1,0.014244432,0,-0.014244432,0.014244432
Frederico Rodrigues Santos,3,0.46720207,0,-0.46720207,0.15573402333333333
Frenkie de Jong,2,0.720993446,1,0.27900655399999996,0.360496723
Gabriel Fernando de Jesus,2,0.323986363,0,-0.323986363,0.1619931815
Gabriel Teodoro Martinelli Silva,4,0.405829787,0,-0.405829787,0.10145744675
Garang Kuol,1,0.23394231,0,-0.23394231,0.23394231
Gareth Frank Bale,2,0.8052008399999999,1,0.19479916000000008,0.40260041999999996
Georges-Kévin Nkoudou Mbida,1,0.0070103277,0,-0.0070103277,0.0070103277
Germán Alejandro Pezzella,1,0.04452438,0,-0.04452438,0.04452438
Gerson Torres Barrantes,1,0.01353695,0,-0.01353695,0.01353695
Giorgian Daniel De Arrascaeta Benedetti,3,1.13451217,2,0.86548783,0.37817072333333335
Giovanni Reyna,2,0.08602206000000001,0,-0.08602206000000001,0.043011030000000006
Gleison Bremer Silva Nascimento,1,0.34439024,0,-0.34439024,0.34439024
Gonzalo Ariel Montiel,3,1.587604363,2,0.4123956369999999,0.5292014543333333
Gonzalo Jordy Plata Jiménez,2,0.105323937,0,-0.105323937,0.0526619685
Gonçalo Matias Ramos,7,1.671089706,3,1.328910294,0.23872710085714285
Granit Xhaka,6,0.295522079,0,-0.295522079,0.049253679833333334
Grzegorz Krychowiak,1,0.02170277,0,-0.02170277,0.02170277
Gue-Sung Cho,8,0.71258904,2,1.2874109599999999,0.08907363
Haji Wright,7,0.658172932,1,0.34182706799999996,0.09402470457142857
Hakim Ziyech,11,1.095816526,2,0.9041834740000001,0.09961968418181817
Haris Seferović,1,0.27028984,0,-0.27028984,0.27028984
Harry Kane,12,2.330979943,2,-0.330979943,0.19424832858333332
Harry Maguire,6,0.489955663,0,-0.489955663,0.08165927716666667
Harry Souttar,1,0.06809473,0,-0.06809473,0.06809473
Harry Wilson,2,0.061493684,0,-0.061493684,0.030746842
Hassan Khalid Al Heidos,1,0.015712837,0,-0.015712837,0.015712837
Hee-Chan Hwang,6,0.5679465854,1,0.4320534146,0.09465776423333333
Henry Josué Martín Mex,4,0.6686734,1,0.3313266,0.16716835
Heung-Min Son,9,0.453828075,0,-0.453828075,0.050425341666666665
Hidemasa Morita,3,0.190594476,0,-0.190594476,0.06353149200000001
Hiroki Sakai,1,0.28772855,0,-0.28772855,0.28772855
Hirving Rodrigo Lozano Bahena,6,0.24040568040000002,0,-0.24040568040000002,0.0400676134
Héctor Alfredo Moreno Herrera,1,0.1766503,0,-0.1766503,0.1766503
Ibrahima Konaté,2,0.17601235,0,-0.17601235,0.088006175
Idrissa Gana Gueye,4,0.332398158,0,-0.332398158,0.0830995395
Iliman Ndiaye,2,0.07411676,0,-0.07411676,0.03705838
In-Beom Hwang,6,0.197748277,0,-0.197748277,0.032958046166666664
Ismaeel Mohammad Mohammad,2,0.35790671,0,-0.35790671,0.178953355
Ismail Jakobs,1,0.014392905,0,-0.014392905,0.014392905
Ismaïla Sarr,10,1.848790219,1,-0.8487902190000001,0.1848790219
Issam Jebali,3,0.5930872340000001,0,-0.5930872340000001,0.1976957446666667
Ivan Perišić,16,0.7556302263,1,0.24436977370000001,0.04722688914375
Iñaki Williams Arthuer,2,0.126027007,0,-0.126027007,0.0630135035
Jack Grealish,1,0.6262809,1,0.37371909999999997,0.6262809
Jackson Gabriel Porozo Vernaza,1,0.052534856,0,-0.052534856,0.052534856
Jackson Irvine,3,0.33239220599999997,0,-0.33239220599999997,0.11079740199999999
Jae-Sung Lee,1,0.021393217,0,-0.021393217,0.021393217
Jakub Kamiński,4,0.26249409,0,-0.26249409,0.0656235225
Jakub Piotr Kiwior,1,0.12449861,0,-0.12449861,0.12449861
Jamal Musiala,11,1.152516099,0,-1.152516099,0.10477419081818183
Jan Vertonghen,2,0.10772621,0,-0.10772621,0.053863105
Jawad El Yamiq,1,0.06408756,0,-0.06408756,0.06408756
Jean-Charles Castelletto,1,0.8945071,1,0.1054929,0.8945071
Jean-Eric Maxim Choupo-Moting,3,0.5235422875,1,0.4764577125,0.17451409583333333
Jeremy Leonel Sarmiento Morante,1,0.02928531,0,-0.02928531,0.02928531
Jesper Lindstrøm,3,0.334183148,0,-0.334183148,0.11139438266666667
Jesús Daniel Gallardo Vasconcelos,1,0.06430086,0,-0.06430086,0.06430086
Jewison Bennette,1,0.037811525,0,-0.037811525,0.037811525
Jin-Su Kim,3,0.285274066,0,-0.285274066,0.09509135533333334
Joachim Andersen,4,0.1448613,0,-0.1448613,0.036215325
Joakim Mæhle,2,0.042316963,0,-0.042316963,0.0211584815
Joe Allen,2,0.063709024,0,-0.063709024,0.031854512
Joel Nathaniel Campbell Samuels,1,0.051288527,0,-0.051288527,0.051288527
John Stones,4,0.587418711,0,-0.587418711,0.14685467775
Jonas Hofmann,1,0.32657883,0,-0.32657883,0.32657883
Jonathan David,8,0.8128135049999999,0,-0.8128135049999999,0.10160168812499999
Jonathan Osorio,1,0.03829635,0,-0.03829635,0.03829635
Jordan Ayew,1,0.07146578,0,-0.07146578,0.07146578
Jordan Brian Henderson,2,0.148950994,1,0.851049006,0.074475497
Jordi Alba Ramos,2,0.045861136,0,-0.045861136,0.022930568
Jorge Eduardo Sánchez Ramos,1,0.0069717234,0,-0.0069717234,0.0069717234
Joshua Kimmich,7,0.334518198,0,-0.334518198,0.047788314
Joshua Sargent,4,0.362028482,0,-0.362028482,0.0905071205
Josip Juranović,1,0.041306578,0,-0.041306578,0.041306578
Josip Stanišić,1,0.040524755,0,-0.040524755,0.040524755
José Adoni Cifuentes Charcopa,1,0.025271386,0,-0.025271386,0.025271386
José Diogo Dalot Teixeira,1,0.036435805,0,-0.036435805,0.036435805
José María Giménez de Vargas,3,0.129368291,0,-0.129368291,0.04312276366666667
João Félix Sequeira,11,0.669207472,1,0.33079252800000003,0.06083704290909091
João Maria Lobo Alves Palhinha Gonçalves,1,0.021024177,0,-0.021024177,0.021024177
João Pedro Cavaco Cancelo,2,0.054823571,0,-0.054823571,0.0274117855
Joško Gvardiol,2,0.186105118,1,0.813894882,0.093052559
Juan Pablo Vargas Campos,1,0.18427365,0,-0.18427365,0.18427365
Jude Bellingham,5,0.841256374,1,0.15874362600000003,0.1682512748
Jules Koundé,4,0.16960582600000002,0,-0.16960582600000002,0.042401456500000004
Jules Olivier Ntcham,1,0.03332142,0,-0.03332142,0.03332142
Julián Álvarez,11,1.908327433,4,2.091672567,0.1734843120909091
Junya Ito,2,0.11059656,0,-0.11059656,0.05529828
Kai Havertz,5,1.155300964,2,0.844699036,0.2310601928
Kalidou Koulibaly,1,0.23427999,1,0.76572001,0.23427999
Kamaldeen Sulemana,1,0.081227794,0,-0.081227794,0.081227794
Kamil Glik,3,0.150632187,0,-0.150632187,0.050210729
Kang-In Lee,5,0.117975209,0,-0.117975209,0.0235950418
Kaoru Mitoma,2,0.837634306,0,-0.837634306,0.418817153
Karim Ansarifard,1,0.06399969,0,-0.06399969,0.06399969
Karl Brillant Toko Ekambi,2,0.1803258,0,-0.1803258,0.0901629
Kasper Dolberg,4,0.511986249,0,-0.511986249,0.12799656225
Keanu Baccus,1,0.035468098,0,-0.035468098,0.035468098
Kendall Jamaal Waston Manley,1,0.099276,0,-0.099276,0.099276
Kevin De Bruyne,7,0.1779663248,0,-0.1779663248,0.025423760685714284
Kevin José Rodríguez Cortez,1,0.13848205,0,-0.13848205,0.13848205
Keysher Fuller Spence,3,0.31160433,1,0.68839567,0.10386811
Kieffer Roberto Francisco Moore,6,0.6403291090000001,0,-0.6403291090000001,0.10672151816666668
Kieran Trippier,1,0.042866398,0,-0.042866398,0.042866398
Kingsley Coman,2,0.8713631399999999,0,-0.8713631399999999,0.43568156999999996
Kléper Laveran Lima Ferreira,3,0.33506425,1,0.6649357499999999,0.11168808333333334
Ko Itakura,3,0.162244075,0,-0.162244075,0.05408135833333333
Krystian Bielik,2,0.136828873,0,-0.136828873,0.0684144365
Krzysztof Piątek,1,0.02819521,0,-0.02819521,0.02819521
Krépin Diatta,3,0.128994183,0,-0.128994183,0.042998061000000004
Kylian Mbappé Lottin,32,5.016751877,9,3.983248123,0.15677349615625
Kyung-Won Kwon,1,0.005484339,0,-0.005484339,0.005484339
Lautaro Javier Martínez,15,2.905046753,1,-1.9050467530000001,0.19366978353333333
Leander Dendoncker,1,0.08894938,0,-0.08894938,0.08894938
